Country,Company Name,Company ID 1,Company ID 2,Company ID 3,Company ID 4,Country,ZIP Code
ES,"ENERGÍAS RENOVABLES ARNETUM, S.L ",B31875180,,,ESB31875180,Villava,31610
ES,"REYSALDE, S.L. ",B31786866,,,,GORRAIZ,31670
ES,RIEGOS DEL TORMES SL,B37028008,,,ESB37028008,SALAMANCA,37008
ES,"ECOEÓLICA ENERGÍAS RENOVABLES, S.L. ",B01264290,,,ESB01264290,AMURRIO,1470
ES,"ECORURAL, S.L. ",B37427713,,,,SALAMANCA,37007
ES,"ECOSOL ENERGÍA SOLAR, S.L. ",B73118333,,,,PATIÑO,30012
ES,"ECOTELIA RIOJA, S.L.L. Olivia",B26403295,,,,LOGROÑO,26006
ES,"EFICIENCIA ENERGÉTICA SOLAR, S.L. ",B50918135,,,,DAROCA,50360
ES,EIFFAGE ENERGIA S.L.U.,B02272490,,B02272490,ESB02272490,ALBACETE,2080
ES,DESARROLLO DE ENERGIA RENOVABLES DE NAVARRA SA,A31656838,,,,PAMPLONA,31012
ES,"DETSUN ENERGIAS RENOVABLES, SLL ",B64475528,,,ESB64475528,SANT ANDREU DE LA BARCA,8740
ES,"DIRESA SOLAR, S.L. ",B45574100,,,ESB45574100,OCAÑA,45300
